Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2803,16.87,20.56,18.36,0
EL-233 Freezer - temp,2798,-30.69,-2.62,-25.06,3
EL-356 Heladera - temp,2804,0.94,4.31,2.01,0
EL-370 Heladera - temp,2806,2.37,4.62,3.56,0
EL-371 Estufa - temp,2817,17.31,20.94,18.93,0
Freezer EL-308 - temp,2804,-21.19,-16.12,-20.03,0
heladera BM muestras - Freezer,2792,-22.56,-7.0,-18.74,2
heladera BM muestras - ambiente,2792,14.0,31.44,19.57,0
heladera BM muestras - heladera,2792,0.88,3.5,1.8,0
heladera BM reactivos - Freezer,2675,-25.5,-9.25,-21.98,6
heladera BM reactivos - ambiente,2675,13.81,30.88,19.7,6
heladera BM reactivos - heladera,2675,0.5,4.25,1.84,6
