Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2811,18.44,21.37,19.63,0
EL-233 Freezer - temp,2818,-27.69,24.5,-14.1,0
EL-356 Heladera - temp,2809,1.75,5.94,3.09,0
EL-370 Heladera - temp,2825,2.37,5.12,3.55,0
EL-371 Estufa - temp,2814,18.69,21.69,19.82,1
Freezer EL-308 - temp,2812,-21.5,-15.69,-19.98,0
heladera BM muestras - Freezer,2783,-22.0,-3.75,-18.77,0
heladera BM muestras - ambiente,2783,-0.06,21.19,18.12,0
heladera BM muestras - heladera,2783,1.12,8.38,2.07,0
heladera BM reactivos - Freezer,2682,-25.56,-9.63,-22.62,0
heladera BM reactivos - ambiente,2682,14.63,21.12,18.28,0
heladera BM reactivos - heladera,2682,0.5,3.06,1.72,0
