Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2820,17.87,20.56,19.1,2
EL-233 Freezer - temp,2815,-27.75,-25.56,-26.86,3
EL-356 Heladera - temp,2807,1.81,5.06,2.66,0
EL-370 Heladera - temp,2827,2.31,4.5,3.47,0
EL-371 Estufa - temp,2822,18.25,21.25,19.66,0
Freezer EL-308 - temp,2802,-20.25,-13.88,-19.49,2
heladera BM muestras - Freezer,2800,-21.12,-8.5,-17.67,5
heladera BM muestras - ambiente,2800,14.5,21.31,17.88,0
heladera BM muestras - heladera,2800,1.06,3.87,1.72,0
heladera BM reactivos - Freezer,2675,-25.31,-6.62,-22.13,1
heladera BM reactivos - ambiente,2675,14.38,21.31,18.08,1
heladera BM reactivos - heladera,2675,0.56,2.94,1.71,1
