Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2812,20.88,22.19,21.77,0
EL-233 Freezer - temp,2817,-25.94,-18.12,-21.39,0
EL-356 Heladera - temp,2786,2.0,5.56,3.11,1
EL-370 Heladera - temp,2828,2.37,5.06,3.83,0
EL-371 Estufa - temp,2811,20.5,22.37,21.67,0
Freezer EL-308 - temp,2829,-20.25,-18.25,-19.75,0
heladera BM muestras - Freezer,2822,-23.12,-9.38,-20.67,0
heladera BM muestras - ambiente,2822,15.31,22.31,18.98,0
heladera BM muestras - heladera,2822,1.25,2.44,1.91,0
heladera BM reactivos - Freezer,2677,-25.69,-9.75,-23.31,1
heladera BM reactivos - ambiente,2677,16.06,21.81,19.27,0
heladera BM reactivos - heladera,2677,1.12,2.87,1.96,0
