Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2467,20.0,22.69,21.32,7
EL-233 Freezer - temp,2817,-28.0,-25.31,-27.07,0
EL-356 Heladera - temp,2806,2.5,5.44,3.74,0
EL-370 Heladera - temp,2815,4.44,5.94,5.18,1
EL-371 Estufa - temp,2626,20.94,22.5,21.75,6
Freezer EL-308 - temp,2796,-21.81,26.94,-10.9,56
heladera BM muestras - Freezer,2764,-22.94,-7.44,-19.36,1
heladera BM muestras - ambiente,2764,14.38,30.31,18.23,1
heladera BM muestras - heladera,2764,1.19,3.31,1.79,1
heladera BM reactivos - Freezer,2682,-25.19,-9.38,-22.81,1
heladera BM reactivos - ambiente,2682,14.13,30.12,18.41,0
heladera BM reactivos - heladera,2682,0.81,2.87,1.71,0
