Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2784,19.0,21.87,20.41,0
EL-233 Freezer - temp,2795,-28.19,-25.06,-26.67,0
EL-356 Heladera - temp,2777,2.44,5.81,3.39,1
EL-370 Heladera - temp,2797,1.75,5.87,4.68,0
EL-371 Estufa - temp,2802,19.0,22.31,20.44,0
Freezer EL-308 - temp,2749,-21.87,17.62,-11.25,52
heladera BM muestras - Freezer,2746,-22.56,-5.06,-18.24,5
heladera BM muestras - ambiente,2746,14.75,30.56,18.55,0
heladera BM muestras - heladera,2746,1.0,3.06,1.77,0
heladera BM reactivos - Freezer,2633,-24.12,-7.37,-20.36,1
heladera BM reactivos - ambiente,2633,14.56,30.0,18.7,0
heladera BM reactivos - heladera,2633,0.37,4.75,1.51,0
