Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2826,17.87,21.06,19.36,0
EL-233 Freezer - temp,2816,-27.81,-20.44,-23.95,0
EL-356 Heladera - temp,2796,2.19,5.62,3.58,0
EL-370 Heladera - temp,2827,1.37,4.19,2.83,0
EL-371 Estufa - temp,2822,18.62,21.56,19.67,0
Freezer EL-308 - temp,2826,-21.94,-17.75,-20.7,0
heladera BM muestras - Freezer,2772,-22.13,-6.75,-18.09,3
heladera BM muestras - ambiente,2772,14.31,20.94,17.86,1
heladera BM muestras - heladera,2772,1.0,4.19,1.75,1
heladera BM reactivos - Freezer,2668,-24.56,-9.13,-20.79,2
heladera BM reactivos - ambiente,2668,14.19,21.19,18.02,0
heladera BM reactivos - heladera,2668,0.5,2.62,1.53,0
