Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2701,21.0,23.19,22.21,0
EL-233 Freezer - temp,2824,-28.19,-25.5,-27.46,0
EL-356 Heladera - temp,2796,2.5,5.44,3.73,1
EL-370 Heladera - temp,2823,4.44,5.94,5.38,0
EL-371 Estufa - temp,2691,21.44,22.94,22.35,1
Freezer EL-308 - temp,2811,-21.81,0.0,-17.96,0
heladera BM muestras - Freezer,2777,-22.25,-7.44,-19.33,2
heladera BM muestras - ambiente,2777,14.75,20.75,17.67,0
heladera BM muestras - heladera,2777,1.19,2.25,1.74,0
heladera BM reactivos - Freezer,2673,-25.25,-9.69,-22.87,1
heladera BM reactivos - ambiente,2673,14.44,21.06,17.84,1
heladera BM reactivos - heladera,2673,0.75,2.56,1.67,1
