Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2808,18.19,20.88,19.64,0
EL-233 Freezer - temp,2819,-28.19,-25.25,-27.12,0
EL-356 Heladera - temp,2803,2.37,5.81,3.5,0
EL-370 Heladera - temp,2825,1.37,5.87,3.53,0
EL-371 Estufa - temp,2821,18.44,21.12,19.79,0
Freezer EL-308 - temp,2803,-22.0,0.0,-17.86,0
heladera BM muestras - Freezer,2773,-23.44,-7.75,-18.79,2
heladera BM muestras - ambiente,2773,14.25,30.56,18.57,0
heladera BM muestras - heladera,2773,1.06,3.94,1.89,0
heladera BM reactivos - Freezer,2675,-25.06,-7.37,-20.87,1
heladera BM reactivos - ambiente,2675,14.19,30.0,18.7,0
heladera BM reactivos - heladera,2675,0.37,5.44,1.73,0
