Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2792,16.94,19.56,17.82,0
EL-233 Freezer - temp,2781,-32.25,-24.5,-28.89,0
EL-356 Heladera - temp,2798,1.31,2.69,1.94,0
EL-370 Heladera - temp,2791,2.25,4.44,3.41,0
EL-371 Estufa - temp,2786,17.31,20.37,18.13,2
Freezer EL-308 - temp,2782,-20.56,-19.19,-19.91,0
heladera BM muestras - Freezer,2781,-22.87,-8.81,-19.8,0
heladera BM muestras - ambiente,2781,14.31,32.75,20.63,0
heladera BM muestras - heladera,2781,1.06,3.25,2.01,0
heladera BM reactivos - Freezer,2658,-25.62,-8.38,-22.28,0
heladera BM reactivos - ambiente,2658,14.13,32.38,20.66,0
heladera BM reactivos - heladera,2658,0.56,3.37,1.79,0
