Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2776,17.69,19.56,18.53,64
EL-233 Freezer - temp,2778,-29.94,-23.0,-26.68,61
EL-356 Heladera - temp,2787,1.31,4.44,2.17,69
EL-370 Heladera - temp,2780,2.25,5.0,3.5,71
EL-371 Estufa - temp,2777,18.0,20.5,19.05,65
Freezer EL-308 - temp,2769,-20.56,-14.5,-19.76,89
heladera BM muestras - Freezer,2768,-22.62,-6.19,-19.01,72
heladera BM muestras - ambiente,2768,-0.06,33.06,21.24,61
heladera BM muestras - heladera,2768,1.06,4.06,2.07,74
heladera BM reactivos - Freezer,2643,-25.37,-8.38,-21.58,93
heladera BM reactivos - ambiente,2643,14.25,32.56,21.27,79
heladera BM reactivos - heladera,2643,0.44,5.31,1.91,89
