Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2806,16.06,20.06,17.29,1
EL-233 Freezer - temp,2812,-28.19,-26.44,-27.46,0
EL-356 Heladera - temp,2812,1.31,2.31,1.81,1
EL-370 Heladera - temp,2827,2.44,4.81,3.78,0
EL-371 Estufa - temp,2813,16.5,20.69,17.84,1
Freezer EL-308 - temp,2761,0.0,0.0,0.0,0
heladera BM muestras - Freezer,2819,-23.62,-7.25,-20.11,1
heladera BM muestras - ambiente,2819,10.38,27.94,22.05,0
heladera BM muestras - heladera,2819,1.0,5.56,2.07,0
heladera BM reactivos - Freezer,2665,-25.62,-10.31,-23.13,2
heladera BM reactivos - ambiente,2665,12.06,26.25,21.73,0
heladera BM reactivos - heladera,2665,0.94,4.31,2.22,0
