Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2820,18.37,20.88,19.48,0
EL-233 Freezer - temp,2807,-27.25,-25.37,-26.1,0
EL-356 Heladera - temp,2812,2.06,4.44,2.64,0
EL-370 Heladera - temp,2817,2.37,4.5,3.52,0
EL-371 Estufa - temp,2825,18.81,21.44,20.08,0
Freezer EL-308 - temp,2814,-20.31,-14.06,-19.65,1
heladera BM muestras - Freezer,2792,-21.81,-7.81,-18.14,2
heladera BM muestras - ambiente,2792,14.44,21.31,17.86,0
heladera BM muestras - heladera,2792,1.06,3.87,1.82,0
heladera BM reactivos - Freezer,2670,-25.25,-6.62,-21.93,2
heladera BM reactivos - ambiente,2670,14.44,21.31,18.07,0
heladera BM reactivos - heladera,2670,0.56,4.5,1.78,0
