Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2814,19.56,20.5,20.0,0
EL-233 Freezer - temp,2814,-28.38,-19.87,-24.3,0
EL-356 Heladera - temp,2805,2.5,5.31,3.2,0
EL-370 Heladera - temp,2829,2.37,4.62,3.53,0
EL-371 Estufa - temp,2821,19.75,20.94,20.23,0
Freezer EL-308 - temp,2827,-20.44,-19.0,-19.74,0
heladera BM muestras - Freezer,2750,-22.25,-9.31,-19.78,5
heladera BM muestras - ambiente,2750,15.0,20.88,18.12,5
heladera BM muestras - heladera,2750,1.25,2.37,1.85,5
heladera BM reactivos - Freezer,2683,-25.44,-9.69,-23.0,0
heladera BM reactivos - ambiente,2683,15.06,20.88,18.31,0
heladera BM reactivos - heladera,2683,0.88,2.69,1.73,0
