Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2817,13.69,20.5,17.45,0
EL-233 Freezer - temp,2819,-27.62,-25.19,-26.0,0
EL-356 Heladera - temp,2774,0.0,40.31,1.72,1
EL-370 Heladera - temp,2825,1.94,4.69,3.47,1
EL-371 Estufa - temp,2824,14.63,21.62,18.02,0
Freezer EL-308 - temp,2804,-21.5,14.94,-13.63,0
heladera BM muestras - Freezer,2835,-23.5,-7.12,-19.32,2
heladera BM muestras - ambiente,2835,10.69,32.31,20.16,12
heladera BM muestras - heladera,2835,-2.19,4.19,1.43,0
heladera BM reactivos - Freezer,2673,-25.5,-8.31,-21.47,2
heladera BM reactivos - ambiente,2673,12.44,30.75,20.27,9
heladera BM reactivos - heladera,2673,0.31,6.87,1.94,0
