Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2822,18.31,20.37,19.15,0
EL-233 Freezer - temp,2810,-28.06,-25.44,-27.07,0
EL-356 Heladera - temp,2809,1.62,4.62,2.28,1
EL-370 Heladera - temp,2824,2.31,4.69,3.4,0
EL-371 Estufa - temp,2798,18.44,20.69,19.27,1
Freezer EL-308 - temp,2807,-20.25,-17.19,-19.77,2
heladera BM muestras - Freezer,2781,-21.87,-9.94,-19.49,2
heladera BM muestras - ambiente,2781,14.75,21.06,18.0,2
heladera BM muestras - heladera,2781,1.44,2.37,1.9,2
heladera BM reactivos - Freezer,2665,-25.44,-9.88,-22.82,0
heladera BM reactivos - ambiente,2665,14.69,21.12,18.15,0
heladera BM reactivos - heladera,2665,0.62,2.56,1.72,0
