Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2819,19.87,21.44,20.68,0
EL-233 Freezer - temp,2808,-12.56,22.75,-3.55,51
EL-356 Heladera - temp,2799,2.62,3.75,3.14,1
EL-370 Heladera - temp,2833,2.19,4.44,3.51,0
EL-371 Estufa - temp,2817,20.19,21.69,20.84,0
Freezer EL-308 - temp,2817,-20.37,-16.75,-19.69,0
heladera BM muestras - Freezer,2805,-22.25,-8.06,-19.59,0
heladera BM muestras - ambiente,2805,14.94,20.81,18.1,0
heladera BM muestras - heladera,2805,1.12,2.37,1.77,0
heladera BM reactivos - Freezer,2687,-25.5,-9.94,-22.99,0
heladera BM reactivos - ambiente,2687,15.0,20.81,18.27,0
heladera BM reactivos - heladera,2687,0.75,2.62,1.72,0
