Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2440,18.69,22.13,20.22,0
EL-233 Freezer - temp,2820,-28.31,-23.87,-26.04,0
EL-356 Heladera - temp,2809,2.19,5.69,3.32,1
EL-370 Heladera - temp,2804,4.25,5.69,5.06,0
EL-371 Estufa - temp,2666,20.06,22.25,20.82,1
Freezer EL-308 - temp,2814,-22.0,-18.25,-20.81,1
heladera BM muestras - Freezer,2786,-23.0,-10.31,-19.66,0
heladera BM muestras - ambiente,2786,14.25,33.69,19.29,0
heladera BM muestras - heladera,2786,1.19,3.44,1.87,0
heladera BM reactivos - Freezer,2672,-25.31,-8.5,-22.08,1
heladera BM reactivos - ambiente,2672,14.06,33.31,19.43,0
heladera BM reactivos - heladera,2672,0.44,3.19,1.67,0
