Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2511,19.5,23.19,21.26,1
EL-233 Freezer - temp,2815,-28.38,-24.94,-26.65,0
EL-356 Heladera - temp,2775,2.19,6.87,3.47,1
EL-370 Heladera - temp,2792,4.37,5.94,5.22,1
EL-371 Estufa - temp,2603,20.06,22.75,21.43,1
Freezer EL-308 - temp,2789,-22.0,-18.5,-20.89,1
heladera BM muestras - Freezer,2758,-22.25,-7.56,-19.41,2
heladera BM muestras - ambiente,2758,14.5,20.75,17.76,1
heladera BM muestras - heladera,2758,1.19,2.69,1.74,1
heladera BM reactivos - Freezer,2654,-25.12,-9.38,-22.71,0
heladera BM reactivos - ambiente,2654,14.06,21.19,17.95,0
heladera BM reactivos - heladera,2654,0.44,2.62,1.64,0
