Etiqueta,lecturas,minimo,maximo,promedio,alertas
Ambiente Veterinaria - temp,2234,16.87,20.56,18.57,122
EL-233 Freezer - temp,2222,-31.81,-26.31,-29.79,85
EL-356 Heladera - temp,2231,0.94,4.25,1.96,98
EL-370 Heladera - temp,2234,2.31,4.5,3.53,113
EL-371 Estufa - temp,2235,17.31,20.88,19.22,112
Freezer EL-308 - temp,2222,-20.94,-17.5,-19.92,123
heladera BM muestras - Freezer,2218,-22.37,-7.5,-18.39,141
heladera BM muestras - ambiente,2218,14.06,31.44,18.98,105
heladera BM muestras - heladera,2218,0.88,3.5,1.73,122
heladera BM reactivos - Freezer,2121,-25.5,-8.44,-21.59,116
heladera BM reactivos - ambiente,2121,13.88,30.88,19.14,123
heladera BM reactivos - heladera,2121,0.31,3.25,1.72,119
